Chi Squared Analysis,Chi Squared Value,P-value,dof,Array
1,1.3396825396825396,0.5117898078169751,2,"[[ 4.5 10.  10.5]
 [ 4.5 10.  10.5]]"
2,2.2232558139534886,0.32902290618533614,2,"[[ 1.  21.5  2.5]
 [ 1.  21.5  2.5]]"
3,1.3603603603603605,0.5065257182477632,2,"[[ 0.5  6.  18.5]
 [ 0.5  6.  18.5]]"
4,8.515151515151514,0.07442929090541801,4,"[[ 2.5 11.   4.5  1.   6. ]
 [ 2.5 11.   4.5  1.   6. ]]"
5,0.3565891472868217,0.8366959186184573,2,"[[ 2.   1.5 21.5]
 [ 2.   1.5 21.5]]"
6,1.024390243902439,0.5991788634896816,2,"[[ 0.5  4.  20.5]
 [ 0.5  4.  20.5]]"
7,0.19548872180451127,0.9068807082895363,2,"[[ 9.5 12.   3.5]
 [ 9.5 12.   3.5]]"
8,0.5208333333333334,0.47048642205878954,1,"[[24.  1.]
 [24.  1.]]"
9,0.3565891472868217,0.8366959186184573,2,"[[ 2.   1.5 21.5]
 [ 2.   1.5 21.5]]"
10,0.6644518272425248,0.41499266639788224,1,"[[21.5  3.5]
 [21.5  3.5]]"
11,7.023255813953488,0.0711602129558882,3,"[[ 1.5  1.5 21.5  0.5]
 [ 1.5  1.5 21.5  0.5]]"
12,2.2232558139534886,0.5273822390562768,3,"[[ 2.5  0.5  0.5 21.5]
 [ 2.5  0.5  0.5 21.5]]"
13,0.3565891472868217,0.8366959186184573,2,"[[ 1.5  2.  21.5]
 [ 1.5  2.  21.5]]"
14,0.0,1.0,1,"[[ 3.5 21.5]
 [ 3.5 21.5]]"
15,0.22325581395348837,0.8943769870303845,2,"[[ 2.5  1.  21.5]
 [ 2.5  1.  21.5]]"
16,0.0,1.0,1,"[[21.5  3.5]
 [21.5  3.5]]"
17,3.2195121951219514,0.19993637309772874,2,"[[20.5  4.   0.5]
 [20.5  4.   0.5]]"
18,0.4666666666666667,0.7918895663367818,2,"[[ 4. 15.  6.]
 [ 4. 15.  6.]]"
